DistrictName,DistrictOfficeTL
พระนคร,02 281 8125
พระนคร,02 281 5370
ดุสิต,02 243 5311
หนองจอก,02 543 1143
หนองจอก,02 543 2373
บางรัก,02 236 1395
บางเขน,02 521 0666
บางเขน,0 521 0057
บางเขน,02 521 0162
บางกะปิ,02 377 5494
ปทุมวัน,02 215 9167
ปทุมวัน,02 214 3004
ป้อมปราบศัตรูพ่าย,02 281 0281
ป้อมปราบศัตรูพ่าย,02 282 4902
พระโขนง,02 311 2510
มีนบุรี,02 540 7160
มีนบุรี,02 540 7156
ลาดกระบัง,02 326 9149
ยานนาวา,02 294 2393
ยานนาวา,02 294 4422
สัมพันธวงศ์,02 237 3345
พญาไท,02 279 4140
พญาไท,02 279 3055
พญาไท,02 279 6682
ธนบุรี,02 465 0025
บางกอกใหญ่,02 457 0069
ห้วยขวาง,02 277 1981
ห้วยขวาง,02 277 9100
คลองสาน,02 437 5279
คลองสาน,02 437 2309
คลองสาน,02 437 7068
ตลิ่งชัน,02 424 1415
บางกอกน้อย,02 424 0056
บางขุนเทียน,02 416 0034
บางขุนเทียน,02 415 0156
ภาษีเจริญ,02 413 0412
ภาษีเจริญ,02 413 0975
ภาษีเจริญ,02 413 0568
หนองแขม,02 421 0939
ราษฎร์บูรณะ,02 428 4884
ราษฎร์บูรณะ,02 428 4747
บางพลัด,02 424 3777
ดินแดง,02 245 2658
บึงกุ่ม,02 364 7000
สาทร,02 212 8112
บางซื่อ,02 586 9977
จตุจักร,02 513 3444
บางคอแหลม,02 291 3800
บางคอแหลม,02 291 0281
บางคอแหลม,02 291 2547
ประเวศ,02 328 7149
คลองเตย,02 240 2121
คลองเตย,02 249 0071
คลองเตย,02 249 9708
สวนหลวง,02 322 6688
สวนหลวง,02 322 6647
สวนหลวง,02 322 7293
จอมทอง,02 427 1171
จอมทอง,02 427 4892
ดอนเมือง,02 565 9424
ราชเทวี,02 354 4201
ลาดพร้าว,02 530 6641
วัฒนา,02 391 0317
วัฒนา,02 391 1436
วัฒนา,02 391 4696
บางแค,02 867 1805
บางแค,02 867 1637
บางแค,02 867 1631
หลักสี่,02 982 2081
สายไหม,02 158 7349
คันนายาว,02 379 9961
สะพานสูง,02 372 2918
วังทองหลาง,02 530 1740
วังทองหลาง,02 538 5350
คลองสามวา,02 548 0327
คลองสามวา,02 548 0326
บางนา,02 173 5253
ทวีวัฒนา,02 441 4973
ทุ่งครุ,02 464 4380
บางบอน,02 450 3201