ElecNo,PartyName,Score
1,พลังประชารัฐ,23246
2,พลังประชารัฐ,26909
3,อนาคตใหม่,28444
4,พลังประชารัฐ,27620
5,เพื่อไทย,27897
6,พลังประชารัฐ,28690
7,พลังประชารัฐ,25180
8,พลังประชารัฐ,29090
9,พลังประชารัฐ,34907
10,เพื่อไทย,30800
11,เพื่อไทย,34679
12,เพื่อไทย,30254
13,พลังประชารัฐ,27489
14,เพื่อไทย,31445
15,พลังประชารัฐ,31551
16,เพื่อไทย,31481
17,พลังประชารัฐ,25329
18,เพื่อไทย,35361
19,พลังประชารัฐ,28203
20,อนาคตใหม่,40483
21,อนาคตใหม่,35702
22,อนาคตใหม่,34368
23,อนาคตใหม่,27651
24,อนาคตใหม่,38409
25,อนาคตใหม่,38340
26,เพื่อไทย,30538
27,อนาคตใหม่,29545
28,อนาคตใหม่,29590
29,เพื่อไทย,28765
30,พลังประชารัฐ,31394