PMNo,NameTitle,PMFirstName,PMLastName,NoPeriod
1,นาย,ก้อน,หุตะสิงห์,358
2,นาย,พจน์,พหลโยธิน,2004
3,จอมพล,แปลก,พิบูลสงคราม,5503
4,พันตรี,ควง,อภัยวงศ์,598
5,นาย,ทวี,บุณยเกตุ,17
6,หม่อมราชวงศ์,เสนีย์,ปราโมช,332
7,นาย,ปรีดี,พนมยงค์,152
8,พลเรือตรี,ถวัลย์,ธำรงนาวาสวัสดิ์,442
9,นาย,พจน์,สารสิน,102
10,จอมพล,ถนอม,กิตติขจร,3492
11,จอมพล,สฤษดิ์,ธนะรัตน์,1763
12,นาย,สัญญา,ธรรมศักดิ์,489
13,พลตรี หม่อมราชวงศ์,คึกฤทธิ์,ปราโมช,403
14,นาย,ธานินทร์,กรัยวิเชียร,377
15,พลเอก,เกรียงศักดิ์,ชมะนันทน์,843
16,พลเอก,เปรม,ติณสูลานนท์,3076
17,พลเอก,ชาติชาย,ชุณหะวัณ,933
18,นาย,อานันท์,ปันยารชุน,507
19,พลเอก,สุจินดา,คราประยูร,47
20,นาย,ชวน,หลีกภัย,2211
21,นาย,บรรหาร,ศิลปอาชา,501
22,พลเอก,ชวลิต,ยงใจยุทธ,349
23,พันตำรวจโท,ทักษิณ,ชินวัตร,2048
24,พลเอก,สุรยุทธ์,จุลานนท์,485
25,นาย,สมัคร,สุนทรเวช,224
26,นาย,สมชาย,วงสวัสดิ์,75
27,นาย,อภิสิทธิ์,เวชชาชีวะ,961
28,นางสาว,ยิงลักษณ์,ชินวัตร,1006
29,พลเอก,ประยุทธ์,จันทร์โอชา,1674